id,metadataproperty,description_href,description_title,description_nilreason,description,descriptionreference_href,descriptionreference_title,descriptionreference_nilreason,identifier_codespace,identifier,name,location_location,aantaldoorstroomopeningen,afslagpeil,afvoercoefficient,breedteopening,categoriewaterkering,code,drempelpeil,filteruitstroming,functiegebiedgemaal,functiegemaal,guid,indicatiewaterkerend,isonderdeelvanwaterkering,kerendehoogte,maximalecapaciteit,naam,nen3610id,objectbegintijd_frame,objectbegintijd_id,objectbegintijd_metadataproperty,objectbegintijd_description_href,objectbegintijd_description_title,objectbegintijd_description_nilreason,objectbegintijd_description,objectbegintijd_descriptionreference_href,objectbegintijd_descriptionreference_title,objectbegintijd_descriptionreference_nilreason,objectbegintijd_identifier_codespace,objectbegintijd_identifier,objectbegintijd_name,objectbegintijd_relatedtime,objectbegintijd_timeposition_frame,objectbegintijd_timeposition_calendareraname,objectbegintijd_timeposition_indeterminateposition,objectbegintijd_timeposition,ontwerpbuitenwaterstand,openingspeil,openkeerpeil,opmerking,richting,signaleringspeil,sluitpeil,statusleggerwatersysteem,statusleggerwaterveiligheid,statusobject,tijdstipregistratie_frame,tijdstipregistratie_id,tijdstipregistratie_metadataproperty,tijdstipregistratie_description_href,tijdstipregistratie_description_title,tijdstipregistratie_description_nilreason,tijdstipregistratie_description,tijdstipregistratie_descriptionreference_href,tijdstipregistratie_descriptionreference_title,tijdstipregistratie_descriptionreference_nilreason,tijdstipregistratie_identifier_codespace,tijdstipregistratie_identifier,tijdstipregistratie_name,tijdstipregistratie_relatedtime,tijdstipregistratie_timeposition_frame,tijdstipregistratie_timeposition_calendareraname,tijdstipregistratie_timeposition_indeterminateposition,tijdstipregistratie_timeposition,typeregelbaarheid,typewaterkerendeconstructie,url,waterbeheerder,fuuid
gemaal.97f7dad3-efe4-484b-90a4-2088f3acf4b5,,,,,,,,,,,,,,,,,,KGM00069,,,,,{78D9FDFC-B821-4E65-BBD3-2E8B8C7DBB01},,,,,Monumentaal poldergemaal Achttienhoven,NL.WBHCODE.11.Gemaal.457,,gemaal.97f7dad3-efe4-484b-90a4-2088f3acf4b5.objectbegintijd,,,,,,,,,,,,,,,,2025-04-10T10:09:59Z,,,,"Vechtdijk bij 154, 3563 MA Utrecht",250.1,,,Vastgesteld,,gerealiseerd,,gemaal.97f7dad3-efe4-484b-90a4-2088f3acf4b5.tijdstipregistratie,,,,,,,,,,,,,,,,2025-05-07T10:42:47Z,,,,"Waterschap Amstel, Gooi en Vecht",gemaal.97f7dad3-efe4-484b-90a4-2088f3acf4b5
gemaal.36f167ee-4c0d-477c-86dc-32c7dc2efd02,,,,,,,,,,,,,,,,,,"23600001",,,,Afvoeren,{0E8B73DA-E720-44FC-A04C-87147D9CC206},,,,,,NL.WBHCODE.15.Gemaal.477,,gemaal.36f167ee-4c0d-477c-86dc-32c7dc2efd02.objectbegintijd,,,,,,,,,,,,,,,,2015-05-06T11:06:06Z,,,,,,,,Gewijzigd,,gerealiseerd,,gemaal.36f167ee-4c0d-477c-86dc-32c7dc2efd02.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.36f167ee-4c0d-477c-86dc-32c7dc2efd02
gemaal.bf1371d9-2b26-489b-a043-2907e9fbee6f,,,,,,,,,,,,,,,,,,"221007315",,,,Onderbemalen,{E83C0A8C-FA56-482C-B2FE-52B4B30900CC},,,,,,NL.WBHCODE.15.Gemaal.18881,,gemaal.bf1371d9-2b26-489b-a043-2907e9fbee6f.objectbegintijd,,,,,,,,,,,,,,,,2024-01-10T09:37:16Z,,,,,,,,Gewijzigd,,gerealiseerd,,gemaal.bf1371d9-2b26-489b-a043-2907e9fbee6f.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.bf1371d9-2b26-489b-a043-2907e9fbee6f
gemaal.189aeebd-ef41-42c2-8298-a30f87ac645a,,,,,,,,,,,,,,,,,,"11104105",,,,,{80AD7ADD-9E02-4187-B1D8-88E6C97792B9},,,,,,NL.WBHCODE.15.Gemaal.340,,,,,,,,,,,,,,,,,,,,,,,28,,,,,gerealiseerd,,gemaal.189aeebd-ef41-42c2-8298-a30f87ac645a.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.189aeebd-ef41-42c2-8298-a30f87ac645a
gemaal.34ab8ded-99b0-4c8a-9f89-99226458df08,,,,,,,,,,,,,,,,,,"40902343",,,,,{CBD496E2-FF87-495A-957B-BF0AC03E1D30},,,,,,NL.WBHCODE.15.Gemaal.231,,,,,,,,,,,,,,,,,,,,,,,131,,,Vastgesteld,,gerealiseerd,,gemaal.34ab8ded-99b0-4c8a-9f89-99226458df08.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.34ab8ded-99b0-4c8a-9f89-99226458df08
gemaal.8a9ab138-caef-40bf-9888-f714ece20686,,,,,,,,,,,,,,,,,,"11400336",,,,,{F729708B-A0D2-4D58-84A9-19F1A811F601},,,,,,NL.WBHCODE.15.Gemaal.327,,,,,,,,,,,,,,,,,,,,,,,300.7,,,,,gerealiseerd,,gemaal.8a9ab138-caef-40bf-9888-f714ece20686.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.8a9ab138-caef-40bf-9888-f714ece20686
gemaal.3ac47399-124f-4074-a941-cf1e9aa49fef,,,,,,,,,,,,,,,,,,"10300344",,,,Afvoeren,{9BE1C41C-E2B4-471C-A498-2D62B47C1475},,,,,,NL.WBHCODE.15.Gemaal.453,,,,,,,,,,,,,,,,,,,,,,,20,,,,,gerealiseerd,,gemaal.3ac47399-124f-4074-a941-cf1e9aa49fef.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.3ac47399-124f-4074-a941-cf1e9aa49fef
gemaal.852a4fe4-a04b-41fc-a357-b2b14b904918,,,,,,,,,,,,,,,,,,"21001828",,,,Onbekend,{921987A9-615C-4FDA-AF61-526564073C81},,,,,,NL.WBHCODE.15.Gemaal.141,,,,,,,,,,,,,,,,,,,,,,,30.66,,,,,gerealiseerd,,gemaal.852a4fe4-a04b-41fc-a357-b2b14b904918.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.852a4fe4-a04b-41fc-a357-b2b14b904918
gemaal.f7749c7f-dc1b-4b8a-9ad9-57f83bc0028a,,,,,,,,,,,,,,,,,,"450131",,,,Onderbemalen,{8CB6D56B-CE85-4C99-B637-29C670C5680C},,,,,,NL.WBHCODE.15.Gemaal.421,,,,,,,,,,,,,,,,,,,,,,,24.53,,,,,gerealiseerd,,gemaal.f7749c7f-dc1b-4b8a-9ad9-57f83bc0028a.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.f7749c7f-dc1b-4b8a-9ad9-57f83bc0028a
gemaal.22e25b12-cb6a-40aa-a8f4-08f00d511a91,,,,,,,,,,,,,,,,,,"10600178",,,,,{65A2FB6A-C5CC-41A7-8E31-5C8E8E46B88E},,,,,,NL.WBHCODE.15.Gemaal.317,,,,,,,,,,,,,,,,,,,,,,,19.71,,,,,gerealiseerd,,gemaal.22e25b12-cb6a-40aa-a8f4-08f00d511a91.tijdstipregistratie,,,,,,,,,,,,,,,,2026-02-17T08:57:41Z,,,,Hoogheemraadschap van Delfland,gemaal.22e25b12-cb6a-40aa-a8f4-08f00d511a91
